source	target	distance_nm
ALUA	NJRW	724.66
ALUA	NJSB	739.78
ALUA	NJUH	743.37
ALUA	NMAQ	988.40
ALUA	NMPH	988.40
ALUA	NVUM	1402.39
ALUA	NYAM	824.22
ALUA	NYCC	756.08
ALUA	NYCP	749.12
ALUA	NYDS	749.46
ALUA	NYEC	675.33
ALUA	NYFL	722.30
ALUA	NYMA	758.25
ALUA	NYMS	749.12
ALUA	NYNS	763.67
ALUA	NYNY	749.12
ALUA	NYSB	789.51
ALUA	NYUC	749.12
ALUA	NYUM	760.76
ALUA	NYVA	758.25
ALUA	NYWC	769.45
ALUA	OHCC	537.66
ALUA	OHCH	428.20
ALUA	OHCM	353.28
ALUA	OHCO	512.85
ALUA	OHOU	428.20
ALUA	OHTC	353.28
ALUA	OHUC	353.28
ALUA	OHUH	537.66
ALUA	OKBC	543.31
ALUA	OKCM	543.31
ALUA	OKMD	543.31
ALUA	OKSJ	480.05
ALUA	ORGS	1794.07
ALUA	ORSV	1794.07
ALUA	ORUO	1794.07
ALUA	ORVA	1794.07
ALUA	PAAE	680.11
ALUA	PAAG	528.84
ALUA	PACH	528.84
ALUA	PACP	680.11
ALUA	PAGM	660.97
ALUA	PAHE	634.41
ALUA	PAHH	625.09
ALUA	PAHM	680.11
ALUA	PALV	689.37
ALUA	PAPH	607.37
ALUA	PAPT	528.84
ALUA	PASC	680.11
ALUA	PATJ	680.11
ALUA	PATU	680.11
ALUA	PAUP	680.11
ALUA	PAVA	528.84
ALUA	PRCC	1432.85
ALUA	PRSJ	1437.34
ALUA	RIRH	883.96
ALUA	SCCH	348.07
ALUA	SCLA	308.63
ALUA	SCMU	348.07
ALUA	SCPG	233.10
ALUA	SDMK	761.11
ALUA	SDSV	761.11
ALUA	TNBM	188.55
ALUA	TNEM	117.90
ALUA	TNLB	188.55
ALUA	TNMH	188.55
ALUA	TNST	158.79
ALUA	TNUK	204.34
ALUA	TNVU	158.79
ALUA	TXAS	531.80
ALUA	TXBC	647.52
ALUA	TXCF	531.80
ALUA	TXCM	504.77
ALUA	TXCT	591.17
ALUA	TXDC	647.75
ALUA	TXDL	591.17
ALUA	TXDM	591.17
ALUA	TXDR	733.09
ALUA	TXDS	591.17
ALUA	TXFW	531.80
ALUA	TXHD	504.77
ALUA	TXHH	492.96
ALUA	TXHI	492.96
ALUA	TXHS	647.52
ALUA	TXJS	481.66
ALUA	TXLM	752.98
ALUA	TXLP	1000.45
ALUA	TXMC	504.77
ALUA	TXMH	492.96
ALUA	TXPL	531.80
ALUA	TXPM	504.77
ALUA	TXSP	504.77
ALUA	TXSW	556.56
ALUA	TXTC	492.96
ALUA	TXTX	504.77
